"Data do Registro","Dia","Prestador de Serviço","Serviços","Janela de atendimento","Capacidade","Ocupada","Disponível","% Uso"
"02/03/2026","Segunda","FRQ OSASCO SP R02","MP MudEnd","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ OSASCO SP R02","Troca","Período da Manhã","1","1","0","100%"
"02/03/2026","Segunda","FRQ OSASCO SP R02","Troca","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ OSASCO SP R02","Desistalação, Desistalação MudEnd","Período da Manhã","1","0","1","0%"
"02/03/2026","Segunda","FRQ OSASCO SP R02","Desistalação, Desistalação MudEnd","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ OSASCO SP R02","Desistalação MudEnd","Período da Manhã","10","0","10","0%"
"02/03/2026","Segunda","FRQ OSASCO SP R02","Desistalação MudEnd","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ OSASCO SP R02","Segurança de Produto","Período da Manhã","1","0","1","0%"
"02/03/2026","Segunda","FRQ OSASCO SP R02","Segurança de Produto","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ OSASCO SP R01","MP MudEnd, MP.","Período da Manhã","12","13","0","100%"
"02/03/2026","Segunda","FRQ OSASCO SP R01","MP MudEnd, MP.","Período da Tarde","14","14","0","100%"
"02/03/2026","Segunda","FRQ OSASCO SP R02","MP MudEnd, MP.","Período da Manhã","4","4","0","100%"
"02/03/2026","Segunda","FRQ OSASCO SP R02","MP., MP MudEnd","Período da Tarde","4","4","0","100%"
"02/03/2026","Segunda","FRQ SBC SP R01","Instalação Mud_End, Instalação","Período da Manhã","1","1","0","100%"
"02/03/2026","Segunda","FRQ SBC SP R01","Instalação Mud_End, Instalação","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ SBC SP R01","Instalação Mud_End","Período da Manhã","10","0","10","0%"
"02/03/2026","Segunda","FRQ SBC SP R01","Instalação Mud_End","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ SBC SP R01","Reparo MudEnd, Reparo","Período da Manhã","4","7","0","100%"
"02/03/2026","Segunda","FRQ SBC SP R01","Reparo, Reparo MudEnd","Período da Tarde","3","3","0","100%"
